Expedition,Site,Hole,Core,Core type,Section,Sample Top Depth in Section [cm],Sample Bottom in Section [cm],Combined ID,Sampling type,Top Depth of Sample [m b.s.f.],Salinity [‰],NH4 [mM],pH [-],Alkalinity [mM],H2S  [mmol],Cl [mM],SO4 [mM],Br [mM],Al [µM],B [µM],Ba [µM],Ca [mM],Fe [µM],K [mM],Li [µM],Mg [mM],Mn [µM],Mo [µM],Na [mM],Ni [µM],P [µM],S [mM],Si [µM],Sr [µM],Comments,Combined ID,Sample Size,Top Depth of Sample [m b.s.f.],Lithology,Disturbance,Core image Evaluation (onshore) Reviewer 1 Thomas,Core image Evaluation (onshore) Reviewer 2 Rebecca,Core image Evaluation (onshore) Reviewer 3 Takeshi,Core image offshore Thomas,contamination Thomas and Rebecca,Medium confidence Rebecca,contamination Takeshi,Contamination all               (all 3 vote for contamination),Medium confidence     (min 1 and max 2 vote for contamination),Contamination,comment
501,M0111,B,13,R,2,0,5,501_M0111_B_013R_2_WR:0-5_1,IWSQ2,80.5,27.00,0.34,7.16,3.12,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_013R_2_WR:0-5_1,20,80.5,clay,slight,section below shows broken laminated clay with ,,compacted (not hard) clay,,,,,,,,
501,M0111,B,14,R,1,143,148,501_M0111_B_014R_1_WR:143-148_1,IWSQ3,84.03,26.37,,7.26,2.75,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_014R_1_WR:143-148_1,20,84.03,clay ,none,section above very coherent,,compacted (not hard) clay,,,,,,,,
501,M0111,B,19,R,1,23,23,501_M0111_B_019R_1_WR:23-23_1,IWRH1,94.33,29.42,,7.22,2.21,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_019R_1_WR:23-23_1,1,94.33,fine sand,slight,"water between sediment and liner, sligtly sunken in",,"loose sand, disturbed",water in the liner,Y,,Y,Y,,YY,
501,M0111,B,21,H,1,125,130,501_M0111_B_021H_1_WR:125-130_1,IWRH1,97.7,30.47,0.29,6.86,3.38,0.000,471.391,23.874,0.700,0.519,222.202,0.175,11.507,109.239,5.954,16.859,45.907,5.005,0.000,363.114,0.153,4.779,23.366,120.755,79.628,,501_M0111_B_021H_1_WR:125-130_1,33,97.7,very coarse sand,slight,"coherent above and below, slightly sunken in, watery",,loose sand,water in the liner,Y,,Y,Y,,YY,
501,M0111,B,24,R,1,101,107,501_M0111_B_024R_1_WR:101-107_1,IWSQ2,102.85,26.14,0.25,7.00,3.45,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_024R_1_WR:101-107_1,14,102.85,clay ,slight,coherent above and below,,compacted (not hard) clay,,,,,,,,
501,M0111,B,26,R,1,125,130,501_M0111_B_026R_1_WR:125-130_1,IWRH3,107.85,23.71,,,,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_026R_1_WR:125-130_1,13,107.85,clay ,slight,coherent above and below,,compacted (not hard) clay,,,,,,,,
501,M0111,B,27,R,1,145,150,501_M0111_B_027R_1_WR:145-150_1,IWSQ1,111.05,18.04,,7.15,3.55,,278.464,14.647,0.404,0.000,338.020,0.335,5.896,0.627,4.379,8.646,22.933,0.400,0.125,239.887,1.142,0.517,14.769,177.074,46.896,,501_M0111_B_027R_1_WR:145-150_1,12,111.05,clay ,slight,coherent above,,compacted (not hard) clay,,,,,,,,
501,M0111,B,28,R,1,144,150,501_M0111_B_028R_1_WR:144-150_1,IWSQ2,113.74,16.15,0.25,7.12,3.52,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_028R_1_WR:144-150_1,13,113.74,clay ,slight,coherent above,,compacted (not hard) clay,,,,,,,,
501,M0111,B,29,R,1,146,151,501_M0111_B_029R_1_WR:146-151_1,IWSQ3,116.76,14.36,,7.06,3.76,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_029R_1_WR:146-151_1,1,116.76,clay ,slight,coherent above,,compacted (not hard) clay,,,,,,,,
501,M0111,B,30,R,1,145,150,501_M0111_B_030R_1_WR:145-150_1,IWSQ1,119.75,12.20,0.21,7.00,4.52,0.000,196.718,14.175,0.292,0.667,345.421,0.218,3.283,12.587,2.831,6.052,13.262,0.328,0.313,189.561,0.443,1.679,14.117,189.035,27.950,,501_M0111_B_030R_1_WR:145-150_1,17,119.75,clay ,slight,coherent above,,compacted (not hard) clay,,,,,,,,
501,M0111,B,31,R,1,144,150,501_M0111_B_031R_1_WR:144-150_1,IWSQ2,122.74,10.42,0.21,7.30,4.52,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_B_031R_1_WR:144-150_1,12,122.74,clay ,none,coherent above,,compacted (not hard) clay,,,,,,,,
